Zonas,Estado,Region,2015,2016,2017,2018,2019,Total-2015,Total-2016,Total-2017,Total-2018,Total-2019
GO_Noroeste,GO,Noroeste,0,0,0,0,0,1279.5435672764538,1545.5057840994268,2166.271265409034,2166.271265409034,2166.271265409034
DF,DF,DF,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
BA_Oeste Norte,BA,Oeste Norte,969.9477397437166,1029.5350201785263,997.1768759879003,1012.1345291277187,1027.3165470646343,969.9477397437166,1029.5350201785263,997.1768759879003,1012.1345291277187,1027.3165470646343
BA_Oeste Sul,BA,Oeste Sul,0,0,0,0,0,969.9477397437166,1029.5350201785263,997.1768759879003,1012.1345291277187,1027.3165470646343
BA_Outros,BA,Outros,0,0,0,0,0,969.9477397437166,1029.5350201785263,997.1768759879003,1012.1345291277187,1027.3165470646343
SE,SE,SE,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
PB,PB,PB,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
AL,AL,AL,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
PE,PE,PE,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
RN,RN,RN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
CE,CE,CE,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
PI_Sul,PI,Sul,11.374308203524373,0,12.444539714174025,12.444539714174025,12.444539714174025,11.374308203524373,0.0,12.444539714174025,12.444539714174025,12.444539714174025
PI_Outros,PI,Outros,0,0,0,0,0,11.374308203524373,0.0,12.444539714174025,12.444539714174025,12.444539714174025
MA_Sul,MA,Sul,33.33384773953819,70.63308833572214,28.998799894400655,28.998799894400655,28.998799894400655,33.33384773953819,70.63308833572214,28.998799894400655,28.998799894400655,28.998799894400655
MA_Outros,MA,Outros,0,0,0,0,0,33.33384773953819,70.63308833572214,28.998799894400655,28.998799894400655,28.998799894400655
TO_Centro,TO,Centro,106.56262219447342,138.4241120870357,0.7243151517333101,0.7243151517333101,0.7243151517333101,106.56262219447342,138.4241120870357,0.7243151517333101,0.7243151517333101,0.7243151517333101
TO_Leste,TO,Leste,0,0,0,0,0,106.56262219447342,138.4241120870357,0.7243151517333101,0.7243151517333101,0.7243151517333101
TO_Norte,TO,Norte,0,0,0,0,0,106.56262219447342,138.4241120870357,0.7243151517333101,0.7243151517333101,0.7243151517333101
TO_Sul,TO,Sul,0,0,0,0,0,106.56262219447342,138.4241120870357,0.7243151517333101,0.7243151517333101,0.7243151517333101
PA_Nordeste,PA,Nordeste,0.02754502944325169,0.08072352952653958,0.22713969080923277,0.22713969080923277,0.22713969080923277,0.02754502944325169,0.08072352952653958,0.22713969080923277,0.22713969080923277,0.22713969080923277
PA_Noroeste,PA,Noroeste,0,0,0,0,0,0.02754502944325169,0.08072352952653958,0.22713969080923277,0.22713969080923277,0.22713969080923277
PA_Sudeste,PA,Sudeste,0,0,0,0,0,0.02754502944325169,0.08072352952653958,0.22713969080923277,0.22713969080923277,0.22713969080923277
PA_Outros,PA,Outros,0,0,0,0,0,0.02754502944325169,0.08072352952653958,0.22713969080923277,0.22713969080923277,0.22713969080923277
AP,AP,AP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
RO,RO,RO,1.8901673674003585,0,0,0,0,1.8901673674003585,0.0,0.0,0.0,0.0
AC,AC,AC,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
AM,AM,AM,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
RR,RR,RR,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
